"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"SI","2024-09-25","94.4","1.95","6.21","Sánchez, Cristopher",641355,650911,"single","hit_into_play",,,,,4,"Cody Bellinger singles on a sharp line drive to left fielder Austin Hays.   Dansby Swanson scores.    Isaac Paredes to 2nd.","R","L","L","PHI","CHC","X",7,"line_drive",1,0,2024,"1.68","0.45","-0.54","2.74",621020,,670623,2,5,"Top",62.35,99.75,,,592663,,,-10.338280565111848,-137.1273725108013,-4.415305254365081,23.392664003370374,28.52745172868982,-25.65766978713233,"3.7","1.75",248,"103.4",13,"95.7",2015,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.52",0.934,0.921,"0.9",1,1,0,4,42,2,"Sinker",5,3,3,5,4,5,4,5,"Standard","Standard",123,"-0.109","0.986","70.07959","7.09982"
"SL","2024-09-25","83.1","1.92","6.17","Sánchez, Cristopher",641355,650911,,"ball",,,,,13,"Cody Bellinger singles on a sharp line drive to left fielder Austin Hays.   Dansby Swanson scores.    Isaac Paredes to 2nd.","R","L","L","PHI","CHC","B",,,0,0,2024,"0","-0.05","-0.99","1.44",621020,,670623,2,5,"Top",,,,,592663,,,-6.764822566188381,-120.88825826362537,-4.342941599508581,1.265280128706303,22.238095483705504,-32.09038680628784,"3.82","1.81",,,,"84.5",1937,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.41",,,,,,,,42,1,"Slider",5,3,3,5,3,5,3,5,"Standard","Standard",319,"0","0.05",,
"SL","2024-09-25","84.9","1.95","6.16","Sánchez, Cristopher",670623,650911,"single","hit_into_play",,,,,14,"Isaac Paredes singles on a line drive to left fielder Austin Hays.   Dansby Swanson to 3rd.","R","R","L","PHI","CHC","X",7,"line_drive",0,1,2024,"0.15","-0.32","0.47","1.28",,,621020,2,5,"Top",89.14,91.05,,,592663,,,-3.8336645279854262,-123.65022257369375,-4.513242990305772,2.2800140199606123,24.906755319946907,-34.76661109703041,"3.22","1.56",266,"79.5",24,"86.1",2024,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.49",0.609,0.553,"0.9",1,1,0,4,41,2,"Slider",5,3,3,5,3,5,3,5,"Standard","Standard",320,"-0.032","0.34","74.04156","8.4476"
"SL","2024-09-25","83.6","1.86","6.15","Sánchez, Cristopher",670623,650911,,"called_strike",,,,,8,"Isaac Paredes singles on a line drive to left fielder Austin Hays.   Dansby Swanson to 3rd.","R","R","L","PHI","CHC","S",,,0,0,2024,"-0.07","-0.22","0.18","1.83",,,621020,2,5,"Top",,,,,592663,,,-3.774924952728078,-121.70441582827537,-3.112786543957783,0.049438787889029334,23.85962062526622,-33.958269954421,"3.29","1.65",,,,"84.7",1971,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.52",,,,,,,,41,1,"Slider",5,3,3,5,3,5,3,5,"Standard","Standard",315,"0","-0.039",,
"SI","2024-09-25","95","1.84","6.11","Sánchez, Cristopher",621020,650911,"walk","ball",,,,,13,"Dansby Swanson walks.","R","R","L","PHI","CHC","B",,,3,2,2024,"1.66","0.29","-0.2","1.32",,,,2,5,"Top",,,,,592663,,,-9.193181424052769,-137.93665255523254,-7.64702801566539,23.217831858710976,29.90539460258002,-26.902696184641712,"3.62","1.84",,,,"96.3",2005,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.4",,0.689131,"0.7",1,0,0,,40,9,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",124,"-0.016","0.103",,
"SI","2024-09-25","93.4","1.89","6.22","Sánchez, Cristopher",621020,650911,,"foul",,,,,12,"Dansby Swanson walks.","R","R","L","PHI","CHC","S",,,3,2,2024,"1.62","0.34","1.11","2.84",,,,2,5,"Top",,,,,592663,,,-5.654367750826524,-135.87063972991604,-3.7403722109380184,21.311234276371096,29.403491851915778,-27.384802332696424,"3.62","1.73",94,"77.7",13,"94.7",1951,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.48",,,,,,,,40,8,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",123,"0","0","69.33371","7.13931"
"SI","2024-09-25","94.6","1.94","6.16","Sánchez, Cristopher",621020,650911,,"foul",,,,,14,"Dansby Swanson walks.","R","R","L","PHI","CHC","S",,,3,2,2024,"1.69","0.47","0.8","1.53",,,,2,5,"Top",,,,,592663,,,-6.8295708058645355,-137.46759361559197,-7.532635310956914,22.95521376379109,30.158918894515846,-24.67989125059346,"3.62","1.73",186,"71.5",32,"95.8",1976,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.45",,,,,,,,40,7,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",123,"0","0","64.63159","7.98288"
"CH","2024-09-25","82.9","2.11","6.03","Sánchez, Cristopher",621020,650911,,"ball",,,,,12,"Dansby Swanson walks.","R","R","L","PHI","CHC","B",,,2,2,2024,"1.39","-0.18","1.59","3.23",,,,2,5,"Top",,,,,592663,,,-3.967342481470648,-120.71378698803393,0.39650395603786825,14.355124340124567,22.119811423399177,-34.174634884299515,"3.6","1.81",,,,"84.3",1625,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.43",,,,,,,,40,6,"Changeup",5,3,3,5,3,5,3,5,"Standard","Standard",105,"0","0.041",,
"SL","2024-09-25","83.8","2.01","6.09","Sánchez, Cristopher",621020,650911,,"ball",,,,,14,"Dansby Swanson walks.","R","R","L","PHI","CHC","B",,,1,2,2024,"0.05","-0.48","0.06","1.06",,,,2,5,"Top",,,,,592663,,,-4.6404582456264585,-121.91465658188002,-4.309237929528621,1.3940175231471095,23.84272450587354,-36.33832630418804,"3.65","1.81",,,,"84.8",1978,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.57",,,,,,,,40,5,"Slider",5,3,3,5,3,5,3,5,"Standard","Standard",314,"0","0.015",,
"SI","2024-09-25","95.4","2.07","6.22","Sánchez, Cristopher",621020,650911,,"foul",,,,,6,"Dansby Swanson walks.","R","R","L","PHI","CHC","S",,,1,2,2024,"1.58","0.39","0.34","2.33",,,,2,5,"Top",,,,,592663,,,-8.195781992864273,-138.69050309416374,-5.527382986027692,22.25381296338621,30.633876390609377,-26.038984964184575,"3.62","1.73",156,"78.3",14,"96.4",2081,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.6",,,,,,,,40,4,"Sinker",5,3,3,5,3,5,3,5,"Standard","Standard",124,"0","0","69.87084","6.89495"
